package,version,imports,suggests,repository,description
abind,1.4-5,"methods, utils",,https://cran.rstudio.com/src/contrib,"Combine multidimensional arrays into a single array.
  This is a generalization of 'cbind' and 'rbind'.  Works with
  vectors, matrices, and higher-dimensional arrays.  Also
  provides functions 'adrop', 'asub', and 'afill' for manipulating,
  extracting and replacing data in arrays."
AER,1.2-9,"stats, Formula (>= 0.2-0)","boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",https://cran.rstudio.com/src/contrib,"Functions, data sets, examples, demos, and vignettes for the book
             Christian Kleiber and Achim Zeileis (2008),
	     Applied Econometrics with R, Springer-Verlag, New York.
	     ISBN 978-0-387-77316-2. (See the vignette ""AER"" for a package overview.)"
annotater,0.1.3,"stringr, purrr, tibble, dplyr, stringi, readr, clipr,
rstudioapi, tidyr, rlang","testthat, knitr, rmarkdown, covr",https://github.com/luisDVA/annotater,"Similar to styler. Provides non-invasive annotation of package load calls 
    such as \code{library} and \code{require} so that we can have an idea of what 
    the packages we're loading are meant for."
ape,5.6-2,"nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","gee, expm, igraph, phangorn",https://cran.rstudio.com/src/contrib,"Functions for reading, writing, plotting, and manipulating phylogenetic trees, analyses of comparative data in a phylogenetic framework, ancestral character analyses, analyses of diversification and macroevolution, computing distances from DNA sequences, reading and writing nucleotide sequences as well as importing from BioConductor, and several tools such as Mantel's test, generalized skyline plots, graphical exploration of phylogenetic data (alex, trex, kronoviz), estimation of absolute evolutionary rates and clock-like trees using mean path lengths and penalized likelihood, dating trees with non-contemporaneous sequences, translating DNA into AA sequences, and assessing sequence alignments. Phylogeny estimation can be done with the NJ, BIONJ, ME, MVR, SDM, and triangle methods, and several methods handling incomplete distance matrices (NJ*, BIONJ*, MVR*, and the corresponding triangle method). Some functions call external applications (PhyML, Clustal, T-Coffee, Muscle) whose results are returned into R."
AsioHeaders,1.22.1-1,,,https://cran.rstudio.com/src/contrib,"'Asio' is a cross-platform C++ library for network and low-level
 I/O programming that provides developers with a consistent asynchronous model
 using a modern C++ approach. It is also included in Boost but requires linking
 when used with Boost. Standalone it can be used header-only (provided a recent
 compiler). 'Asio' is written and maintained by Christopher M. Kohlhoff, and
 released under the 'Boost Software License', Version 1.0."
askpass,1.1,sys (>= 2.1),testthat,https://cran.rstudio.com/src/contrib,"Cross-platform utilities for prompting the user for credentials or a 
    passphrase, for example to authenticate with a server or read a protected key.
    Includes native programs for MacOS and Windows, hence no 'tcltk' is required. 
    Password entry can be invoked in two different ways: directly from R via the 
    askpass() function, or indirectly as password-entry back-end for 'ssh-agent' 
    or 'git-credential' via the SSH_ASKPASS and GIT_ASKPASS environment variables.
    Thereby the user can be prompted for credentials or a passphrase if needed 
    when R calls out to git or ssh."
assertthat,0.2.1,tools,"testthat, covr",https://cran.rstudio.com/src/contrib,"An extension to stopifnot() that makes it easy to declare 
    the pre and post conditions that you code should satisfy, while also 
    producing friendly error messages so that your users know what's gone
    wrong."
aws.s3,0.3.21,"utils, tools, curl, httr, xml2 (> 1.0.0), base64enc, digest,
aws.signature (>= 0.3.7)","testthat, datasets",https://cran.rstudio.com/src/contrib,"A simple client package for the Amazon Web Services ('AWS') Simple
    Storage Service ('S3') 'REST' 'API' <https://aws.amazon.com/s3/>."
aws.signature,0.6.0,"digest, base64enc","testthat (>= 2.1.0), aws.ec2metadata (>= 0.1.6)",https://cran.rstudio.com/src/contrib,"Generates version 2 and version 4 request signatures for Amazon Web Services ('AWS') <https://aws.amazon.com/> Application Programming Interfaces ('APIs') and provides a mechanism for retrieving credentials from environment variables, 'AWS' credentials files, and 'EC2' instance metadata. For use on 'EC2' instances, users will need to install the suggested package 'aws.ec2metadata' <https://cran.r-project.org/package=aws.ec2metadata>."
AzureAuth,1.3.3,"utils, httr (>= 1.3), openssl, jsonlite, jose, R6, rappdirs","knitr, rmarkdown, testthat, httpuv, shiny, shinyjs, AzureRMR,
AzureGraph",https://cran.rstudio.com/src/contrib,"Provides Azure Active Directory (AAD) authentication functionality for R users of Microsoft's 'Azure' cloud <https://azure.microsoft.com/>. Use this package to obtain 'OAuth' 2.0 tokens for services including Azure Resource Manager, Azure Storage and others. It supports both AAD v1.0 and v2.0, as well as multiple authentication methods, including device code and resource owner grant. Tokens are cached in a user-specific directory obtained using the 'rappdirs' package. The interface is based on the 'OAuth' framework in the 'httr' package, but customised and streamlined for Azure. Part of the 'AzureR' family of packages."
